Feature,Area (um^2),Roundness,CentroidX (um),CentroidY (um),First Moment of Area (um^3),Eccentricity,Equivalent Diameter (um),Nearest Neighbor Distance (um),Average Neighbor Distance (um),,,avg,st dev
3778,25.28608,1.016049,14393.96519,5261.528162,47.836207,0.412139,5.674085,34.293951,243.48581,,,,
1465,52.257899,1.015828,5966.93797,2565.999127,142.07858,0.250796,8.157011,78.429571,205.990999,,,,
736,39.614859,1.015757,3393.857791,5105.116989,93.69078,0.199165,7.102056,40.052666,142.070083,,,,
86,46.779249,1.015679,1015.58655,7434.900631,120.409471,0.350324,7.71759,30.505378,180.938075,,,,
826,34.136208,1.015541,3744.005395,1409.674334,75.043316,0.355051,6.592691,34.813194,159.306036,,,,
2733,66.165244,1.015089,10246.47932,3792.211847,202.352333,0.167779,9.178464,88.686437,191.618813,,,,
940,30.343296,1.014907,4145.122497,1264.016575,62.824059,0.340426,6.215648,98.682799,254.308564,,,,
1932,60.686593,1.014907,7521.22366,7196.80948,177.770996,0.27889,8.790254,15.960558,207.263924,,,,
2202,30.343296,1.014907,8427.014596,5754.647094,62.930999,0.351396,6.215648,82.472108,128.20932,,,,
2479,76.70111,1.014844,9567.686178,7579.793578,252.526891,0.152921,9.882251,54.144703,87.566946,,,,
1899,23.178907,1.014803,7388.35299,6995.304008,42.131725,0.480336,5.432523,111.237368,205.966359,,,,
2170,23.178907,1.014803,8326.394483,3060.328946,42.153579,0.178023,5.432523,14.419516,92.647948,,,,
2455,23.178907,1.014803,9450.774243,5120.224299,42.054315,0.347736,5.432523,68.164692,103.190503,,,,
2739,23.178907,1.014803,10257.49252,6303.785669,41.960534,0.395222,5.432523,45.655398,124.454833,,,,
3675,23.178907,1.014803,13953.87623,6787.625424,41.960534,0.395222,5.432523,90.881499,111.170322,,,,
3737,23.178907,1.014803,14203.44463,6338.888602,42.208082,0.259319,5.432523,95.81401,188.422664,,,,
3851,23.178907,1.014803,14819.36301,4543.433771,42.160032,0.44784,5.432523,147.47617,292.020733,,,,
2719,24.864646,1.014424,10214.1101,1552.321417,46.770359,0.373198,5.626602,52.883045,114.265096,,,,
1453,79.651153,1.014094,5924.550638,5069.419141,267.417021,0.150346,10.070501,24.544595,172.741822,,,,
1601,37.086251,1.013872,6409.081189,7630.233032,84.987871,0.299653,6.871658,47.980818,149.500016,,,,
2177,37.086251,1.013872,8367.266266,2184.719388,84.988607,0.350723,6.871658,172.938151,264.982195,,,,
1316,54.365073,1.013188,5336.863488,1141.555352,150.774192,0.343596,8.319841,25.162788,87.148665,,,,
2390,57.73655,1.012957,9185.996509,1136.756827,164.924619,0.250507,8.573941,49.701975,201.175377,,,,
3839,122.216055,1.012751,14728.5645,4125.485175,508.045137,0.192505,12.474386,157.885984,274.167477,,,,
593,75.015372,1.012672,2837.744487,7485.224107,244.388489,0.205092,9.773052,106.465218,189.192258,,,,
1912,101.144321,1.012634,7443.33829,1557.101509,382.772451,0.228351,11.348169,55.443464,79.79873,,,,
3358,81.758326,1.012389,12632.91899,3867.519967,278.138252,0.228315,10.20284,127.863322,208.256961,,,,
2648,27.814688,1.012325,10005.57528,1116.91419,55.266005,0.332014,5.95103,50.891181,218.920395,,,,
3508,27.814688,1.012325,13224.63267,6542.819646,55.253619,0.14802,5.95103,40.928067,148.202359,,,,
1627,32.871904,1.011851,6490.709711,7499.876666,70.970517,0.259602,6.469452,12.925187,72.108009,,,,
2698,32.871904,1.011851,10164.68566,1447.762951,71.115348,0.353647,6.469452,62.629615,107.534127,,,,
1201,51.836465,1.011724,4992.410593,7162.012376,140.406165,0.204513,8.124053,124.389737,239.378747,,,,
3245,51.836465,1.011724,12113.18685,3131.317091,140.415016,0.280356,8.124053,114.088082,160.905621,,,,
3268,51.836465,1.011724,12193.16265,5005.315025,140.389774,0.275313,8.124053,79.87692,135.911724,,,,
1774,39.614859,1.011407,6906.038996,2872.600781,93.918657,0.274344,7.102056,103.528221,246.978094,,,,
2973,39.614859,1.011407,11022.89684,6414.333489,93.822937,0.268374,7.102056,62.243396,120.969884,,,,
3604,70.37959,1.011071,13646.71599,2545.236527,222.09617,0.280765,9.46626,54.313643,152.474331,,,,
237,34.136208,1.010501,1596.301562,4229.744312,75.232142,0.285795,6.592691,81.03457,201.887473,,,,
659,71.643894,1.010442,3107.571198,4962.186809,228.204238,0.164455,9.550908,126.776259,186.68677,,,,
66,39.193425,1.01034,916.64216,3791.86038,92.217149,0.329746,7.064179,180.541514,234.188823,,,,
650,39.193425,1.01034,3072.485175,5493.249473,92.306244,0.308353,7.064179,115.853148,196.966448,,,,
3284,39.193425,1.01034,12281.18026,6120.399236,92.292928,0.35368,7.064179,112.474014,176.423098,,,,
394,93.558497,1.010163,2141.007337,6994.022609,340.5793,0.206588,10.91432,36.066112,81.673391,,,,
2710,107.044407,1.010049,10199.54045,2081.715794,416.618472,0.213467,11.674467,97.553709,236.158587,,,,
3599,74.593937,1.009824,13614.36823,4386.732989,242.417002,0.200385,9.745561,120.519589,173.489123,,,,
522,30.343296,1.009253,2516.005287,6368.311538,63.0289,0.448008,6.215648,19.652832,44.821232,,,,
526,42.143467,1.009253,2542.760158,6432.25721,102.879418,0.153964,7.325212,69.317186,176.802323,,,,
600,67.429548,1.009253,2862.940603,1851.78595,208.238743,0.261194,9.265742,80.183973,168.3037,,,,
651,26.971819,1.009253,3083.341271,7523.083291,53.039554,0.413981,5.86017,71.718013,148.539158,,,,
813,30.343296,1.009253,3688.108793,6385.88448,62.991733,0.308022,6.215648,55.926101,196.276371,,,,
957,26.971819,1.009253,4217.10371,7320.924581,52.816888,0.43421,5.86017,120.280391,257.697616,,,,
1188,33.714774,1.009253,4957.63348,7618.565496,73.623692,0.266453,6.551869,37.571418,76.465335,,,,
1210,26.971819,1.009253,5025.160372,2115.170448,52.745041,0.442509,5.86017,50.903211,148.157555,,,,
1341,42.143467,1.009253,5447.275872,3432.623643,102.972767,0.277828,7.325212,18.112652,214.367233,,,,
1383,26.971819,1.009253,5648.971635,4978.2064,52.799825,0.338108,5.86017,104.789184,138.413562,,,,
1397,21.914603,1.009253,5716.279585,4569.740315,38.58726,0.404792,5.282285,129.471847,269.598417,,,,
1519,26.971819,1.009253,6148.292489,5567.874852,52.761888,0.281975,5.86017,100.824514,145.127078,,,,
1520,28.657558,1.009253,6149.137974,4910.884405,57.698378,0.278691,6.040524,67.35319,166.877314,,,,
1776,30.343296,1.009253,6910.5211,3528.158054,62.870653,0.392367,6.215648,89.921141,175.749041,,,,
1797,21.914603,1.009253,6996.462545,6853.742818,38.566122,0.369926,5.282285,89.390082,192.472172,,,,
2286,53.943638,1.009253,8719.197441,1906.261281,149.032976,0.363353,8.287531,131.394372,246.791448,,,,
2328,48.886422,1.009253,8923.404425,1703.179694,128.505334,0.248155,7.889495,37.585471,122.816367,,,,
3225,21.914603,1.009253,12040.54121,2975.017161,38.627875,0.240664,5.282285,117.361876,276.573343,,,,
3422,30.343296,1.009253,12914.57954,2837.051846,62.943385,0.342474,6.215648,13.27293,46.131246,,,,
3563,26.971819,1.009253,13455.12784,7565.087265,52.815601,0.293252,5.86017,83.539436,110.329315,,,,
3665,28.657558,1.009253,13885.68334,2156.957831,57.813358,0.314392,6.040524,113.094576,201.250841,,,,
3748,28.657558,1.009253,14264.08846,4499.724343,57.876361,0.157366,6.040524,66.84694,136.330986,,,,
3827,21.914603,1.009253,14681.66762,3888.051378,38.646059,0.317249,5.282285,57.987412,197.013867,,,,
1464,77.122545,1.008702,5960.706906,1063.229132,254.678998,0.257479,9.909363,40.577005,153.507159,,,,
2920,50.150726,1.008406,10823.39627,1643.341889,133.639337,0.23573,7.990863,111.275581,152.874737,,,,
1625,133.594791,1.008299,6491.472338,2553.775821,580.725112,0.190357,13.042169,49.850419,193.156449,,,,
134,36.664816,1.008095,1229.278294,4936.946743,83.574165,0.308777,6.832503,16.576427,79.698688,,,,
491,36.664816,1.008095,2404.286632,4746.393759,83.590862,0.346117,6.832503,112.270147,170.152801,,,,
1204,36.664816,1.008095,5000.058978,7637.356459,83.576957,0.283473,6.832503,46.400681,93.999184,,,,
1858,36.664816,1.008095,7218.821905,1244.351209,83.657324,0.405993,6.832503,13.658443,62.094053,,,,
1925,36.664816,1.008095,7499.573601,2220.35976,83.520087,0.37707,6.832503,22.532759,209.434941,,,,
2084,36.664816,1.008095,7994.405459,2362.53018,83.520087,0.37707,6.832503,71.757756,192.925669,,,,
